Team,Model_Type,Games_Played,Avg_Performance,Performance_Std,Final_State_Mean,Final_State_Std,Predicted_Mean,Predicted_Std,Predicted_Lower_95,Predicted_Upper_95
Bilibili Gaming,Kalman Filter,58,0.6743742639394408,0.3694392161978584,0.7906607352234307,0.19202177203397602,0.7906607352234307,0.19202177203397602,0.4142980620368377,1.0
Gen.G eSports,Kalman Filter,54,0.7506108681210846,0.35449915754237526,0.7064723586828099,0.18425644444682315,0.7064723586828099,0.18425644444682315,0.3453297275670365,1.0
G2 Esports,Kalman Filter,26,0.6870289906394599,0.3477521293540015,0.7051356429289412,0.18074957861779647,0.7051356429289412,0.18074957861779647,0.35086646883806005,1.0
FlyQuest,Kalman Filter,25,0.8036269831236846,0.28595398405852956,0.9358681531820561,0.14862904023797224,0.9358681531820561,0.14862904023797224,0.6445552343156304,1.0
CTBC Flying Oyster,Kalman Filter,25,0.6905420086212143,0.3499265766535273,0.7759162066312878,0.18187978733664512,0.7759162066312878,0.18187978733664512,0.4194318234514634,1.0
Anyone s Legend,Kalman Filter,63,0.6719866861272452,0.35953601920319156,0.6616110701346688,0.18687443154509023,0.6616110701346688,0.18687443154509023,0.29533718430629197,1.0
Hanwha Life eSports,Kalman Filter,41,0.6625705780871014,0.3517603759638952,0.6905554997760177,0.18283292017366096,0.6905554997760177,0.18283292017366096,0.33220297623564227,1.0
Movistar KOI,Kalman Filter,28,0.6195194485066154,0.380006694415079,0.704983458654972,0.1975143847263799,0.704983458654972,0.1975143847263799,0.31785526459126745,1.0
Vivo Keyd Stars,Kalman Filter,25,0.6881178963179033,0.3712761989412899,0.6105530306451195,0.1929765841903766,0.6105530306451195,0.1929765841903766,0.2323189256319813,0.9887871356582576
Team Secret Whales,Kalman Filter,32,0.6749735465097452,0.34857412481675104,0.5478711105303754,0.18117681679643785,0.5478711105303754,0.18117681679643785,0.19276454960935724,0.9029776714513935
Top Esports,Kalman Filter,62,0.706583081922696,0.3429286045516026,0.6689417206731336,0.1782424697757874,0.6689417206731336,0.1782424697757874,0.3195864799125903,1.0
Invictus Gaming,Kalman Filter,50,0.5971621592553733,0.36503965773773384,0.5488644909111162,0.18973503317508053,0.5488644909111162,0.18973503317508053,0.1769838258879584,0.9207451559342741
KT Rolster,Kalman Filter,41,0.53651936371422,0.3689778892596698,0.22083634398393745,0.19178199019141984,0.22083634398393745,0.19178199019141984,0.0,0.5967290447591204
Fnatic,Kalman Filter,24,0.6370819431679012,0.3750476757161615,0.48312511493697474,0.19493687784795172,0.48312511493697474,0.19493687784795172,0.1010488343549894,0.8652013955189601
100 Thieves,Kalman Filter,36,0.6401343660545371,0.3641372862873667,0.643151320400549,0.1892660116069255,0.643151320400549,0.1892660116069255,0.27218993765097504,1.0
PSG Talon,Kalman Filter,24,0.5743857813612293,0.35579573845769985,0.46850534750405604,0.18493038615126775,0.46850534750405604,0.18493038615126775,0.10604179064757124,0.8309689043605408
T1,Kalman Filter,53,0.6601436531089352,0.37564031751762333,0.48768545926584395,0.19524489078200266,0.48768545926584395,0.19524489078200266,0.10500547333311872,0.8703654451985692
