Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Win,Game_ID,Blue_Team,Red_Team,Winning_Team
Leks,TOP,15,2,5,2,0.8,240,0,,8.3,10124,351,20.9%,26,10,6,6,5,0.9,0.35,0.21,0.21,12.9%,10365,8933,1432,0,359,17.6%,0.14,36.4%,,0,0,0,0,1147,32,1088,0,0,1223,1223,7275,0,25710,0,12,34,36190,173,8,26,0,7,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Stalken,JUNGLE,14,5,4,5,2.5,183,158,,6.3,10764,373,22.2%,38,8,7,7,5,1.32,0.28,0.24,0.24,18.8%,11542,9778,1179,585,400,19.6%,0.35,90.9%,,2,0,0,0,1614,-2,750,1,0,0,0,12483,0,27953,0,15,213,31915,146,9,28,0,380,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
FireAscept,MID,14,2,7,6,1.1,220,0,,7.6,10362,359,21.4%,22,13,2,5,4,0.76,0.45,0.17,0.07,10.9%,18100,1178,16922,0,628,30.7%,0.28,72.7%,,0,0,0,0,777,-3,-665,-1,0,1331,1331,1272,0,13621,790,34,439,21949,212,7,25,0,223,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Mako,ADC,13,2,6,2,0.7,259,12,,9,11075,384,22.9%,20,7,7,2,1,0.69,0.24,0.07,0.24,9.9%,15672,9596,5806,270,544,26.6%,0.14,36.4%,,0,0,0,0,-709,-3,-239,0,0,200,200,5115,0,11353,0,10,139,19844,191,4,20,0,116,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Varin,SUPPORT,12,0,6,6,1,32,0,,1.1,6060,210,12.5%,96,46,7,13,11,3.33,1.6,0.45,0.24,47.5%,3308,458,2850,0,115,5.6%,0.21,54.5%,,0,0,0,0,9,-3,192,0,0,0,0,1755,616,24234,1334,26,65,17866,157,15,29,0,0,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Zest,TOP,17,6,4,11,4.3,215,12,,7.5,12511,434,19.8%,26,11,7,2,2,0.9,0.38,0.07,0.24,13.1%,31261,22866,858,7537,1084,30.5%,0.59,60.7%,,0,0,0,0,-1147,-32,-1088,0,0,5686,5686,8883,0,11485,0,15,70,19528,74,3,23,7,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Peach,JUNGLE,17,4,2,23,13.5,191,172,,6.6,13434,466,21.2%,38,9,9,5,5,1.32,0.31,0.17,0.31,19.1%,17864,14299,2188,1377,620,17.4%,0.94,96.4%,1,1,0,0,0,-1614,2,-750,-1,0,3182,3182,19535,0,37644,0,27,582,31796,45,5,24,188,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Kofte,MID,18,4,1,17,21,245,0,,8.5,12329,428,19.5%,31,12,4,4,4,1.08,0.42,0.14,0.14,15.6%,15198,119,14963,116,527,14.8%,0.73,75%,,0,0,0,0,-777,3,665,1,0,7344,7344,3280,0,25944,2602,29,100,15872,25,6,27,60,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Scorth,ADC,17,13,1,10,23,291,20,,10.1,16774,582,26.5%,22,10,5,2,2,0.76,0.35,0.07,0.17,11.1%,32062,15394,16270,398,1112,31.3%,0.8,82.1%,,3,2,0,0,709,3,239,0,0,8910,8910,2446,0,8281,0,4,118,10542,28,5,27,471,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
monkaS,SUPPORT,13,1,3,14,5,42,0,,1.5,8224,285,13%,82,36,12,9,7,2.84,1.25,0.31,0.42,41.2%,6148,1533,4615,0,213,6%,0.52,53.6%,,0,0,0,0,-9,3,-192,0,0,1986,1986,3058,946,17087,928,54,278,12082,64,12,28,0,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Vertigo,TOP,18,5,1,8,13,313,16,,9.5,15568,470,23.3%,26,11,4,2,2,0.79,0.33,0.06,0.12,9.1%,18987,18181,806,0,574,25.3%,0.39,76.5%,1,0,0,0,0,1047,-7,140,0,0,8409,8409,8917,0,28045,0,8,273,23660,38,5,28,0,184,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
chef,JUNGLE,16,1,1,7,8,227,208,,6.9,12255,370,18.3%,49,8,12,6,6,1.48,0.24,0.18,0.36,17.1%,6748,5829,570,349,204,9%,0.24,47.1%,,0,0,0,0,656,0,506,0,0,7344,7344,17556,0,26551,0,8,272,31946,0,7,28,0,322,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Ivory,MID,18,6,0,8,Perfect KDA,316,12,,9.5,15855,479,23.7%,38,9,6,3,3,1.15,0.27,0.09,0.18,13.3%,22705,1397,21308,0,686,30.2%,0.42,82.4%,1,0,0,0,0,191,-13,-253,-1,0,2920,2920,5613,0,10541,0,38,857,17083,0,6,26,0,0,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
