,Bilibili Gaming,Gen.G eSports,G2 Esports,FlyQuest,CTBC Flying Oyster,Anyone s Legend,Hanwha Life eSports,Movistar KOI,Vivo Keyd Stars,Team Secret Whales,Top Esports,Invictus Gaming,KT Rolster,Fnatic,100 Thieves,PSG Talon,T1
Bilibili Gaming,0.5,0.42882391865596964,0.5078327169207035,0.37070619849732156,0.47785875767794556,0.5353428444754561,0.5219250633885102,0.5662333115714373,0.500465452191195,0.5237638168084832,0.4823199606800074,0.5991045143946141,0.6602782911999727,0.6038766763987212,0.508417314117079,0.5580479136174346,0.5199417001630877
Gen.G eSports,0.5711760813440303,0.5,0.5788330000135494,0.4396611773362233,0.5493459011470728,0.6054577821236257,0.5925235975973245,0.6348662324688714,0.5716320411256058,0.5943018835360314,0.5537666811119234,0.6656078890104945,0.7213535829426286,0.6700244315574828,0.579403110216113,0.6271230961195053,0.59060338186737
G2 Esports,0.49216728307929647,0.42116699998645063,0.5,0.36342672448120106,0.4700468194084213,0.5275406238930367,0.5141020335955125,0.5585220364862655,0.4926326278319483,0.515942970082669,0.474501368241193,0.5915560818939927,0.6532149674361043,0.5963575596271599,0.5005847514080429,0.5503066890445303,0.5121165535531985
FlyQuest,0.6292938015026786,0.5603388226637768,0.6365732755187988,0.5,0.6083937655192202,0.6616813624313689,0.6495234041822201,0.6890513067808004,0.6297280255203876,0.6511993694642286,0.6126437402699058,0.7172626496575503,0.7674062638392473,0.7212826345103623,0.6371142263822117,0.6818814623457068,0.6477120947069255
CTBC Flying Oyster,0.5221412423220544,0.45065409885292723,0.5299531805915787,0.3916062344807798,0.5,0.5573047151347825,0.5439809039183057,0.5878591762526661,0.5226057626413435,0.5458086483387569,0.5044681994523695,0.6201908192671921,0.6798663235165312,0.624869143249368,0.5305357926418934,0.579779011111008,0.5420087493180311
Anyone s Legend,0.46465715552454395,0.3945422178763743,0.47245937610696326,0.3383186375686311,0.4426952848652175,0.5,0.48654050016471523,0.5311824437370286,0.4651203125758844,0.4883819411911273,0.4471093139102934,0.5646676994221937,0.6278319608123708,0.5695552641139842,0.4730423909685251,0.5228929357504242,0.4845553142515133
Hanwha Life eSports,0.4780749366114897,0.4074764024026756,0.4858979664044875,0.3504765958177798,0.4560190960816943,0.5134594998352847,0.5,0.5445671242669192,0.47853951277969076,0.5018425935558614,0.46045621167250533,0.5778561369226349,0.6403257086668454,0.5827050569773289,0.4864822719338388,0.5363076860047198,0.498013162009191
Movistar KOI,0.4337666884285627,0.3651337675311286,0.44147796351373436,0.3109486932191996,0.41214082374733385,0.4688175562629714,0.4554328757330808,0.5,0.434224029537522,0.4572614306782378,0.41647786929213504,0.5337575436131985,0.5982155095234543,0.5387086415490909,0.44205478318505353,0.49168675411568086,0.45346252088097233
Vivo Keyd Stars,0.4995345478088051,0.42836795887439416,0.5073673721680518,0.3702719744796123,0.47739423735865644,0.5348796874241155,0.5214604872203092,0.5657759704624781,0.5,0.5232993954683418,0.48185510576161367,0.598657265815982,0.659860542598017,0.6034312276524876,0.5079519865448782,0.5575886852723971,0.5194769711057113
Team Secret Whales,0.4762361831915169,0.4056981164639686,0.48405702991733107,0.3488006305357713,0.4541913516612432,0.5116180588088727,0.4981574064441386,0.5427385693217621,0.47670060453165813,0.5,0.45862567676733834,0.576057187176144,0.6386264899721826,0.5809117845930747,0.4846412085853399,0.5344743178188149,0.49617062452970645
Top Esports,0.5176800393199926,0.44623331888807655,0.5254986317588071,0.3873562597300943,0.4955318005476305,0.5528906860897065,0.5395437883274946,0.5835221307078651,0.5181448942383863,0.5413743232326617,0.5,0.6159717440774827,0.6759637974234146,0.62067025095089,0.5260818276090076,0.5754183487314012,0.537568757009984
Invictus Gaming,0.40089548560538596,0.3343921109895054,0.4084439181060072,0.2827373503424497,0.3798091807328078,0.4353323005778062,0.42214386307736507,0.4662424563868015,0.40134273418401795,0.423942812823856,0.3840282559225174,0.5,0.5653243005325483,0.5049771124797151,0.4090091838133655,0.4579763836525197,0.42020639738795673
KT Rolster,0.33972170880002733,0.2786464170573714,0.3467850325638956,0.23259373616075288,0.3201336764834688,0.3721680391876292,0.35967429133315465,0.40178449047654574,0.34013945740198315,0.36137351002781737,0.32403620257658544,0.4346756994674517,0.5,0.43957422789423534,0.34731506616963326,0.39381803052148856,0.35784598602853723
Fnatic,0.3961233236012787,0.32997556844251724,0.4036424403728401,0.2787173654896376,0.37513085675063185,0.43044473588601573,0.4172949430226711,0.46129135845090896,0.3965687723475125,0.4190882154069252,0.3793297490491099,0.4950228875202849,0.5604257721057646,0.5,0.4042056015555731,0.45303856029018813,0.4153637352804227
100 Thieves,0.491582685882921,0.420596889783887,0.4994152485919571,0.36288577361778834,0.4694642073581066,0.5269576090314749,0.5135177280661612,0.5579452168149465,0.4920480134551218,0.5153587914146601,0.4739181723909925,0.5909908161866345,0.6526849338303667,0.5957943984444268,0.5,0.5497277889875135,0.5115321289736133
PSG Talon,0.4419520863825654,0.3728769038804946,0.4496933109554697,0.3181185376542932,0.4202209888889919,0.4771070642495759,0.4636923139952802,0.5083132458843191,0.4424113147276029,0.46552568218118495,0.4245816512685988,0.5420236163474804,0.6061819694785114,0.5469614397098118,0.4502722110124865,0.5,0.4617165227003013
T1,0.48005829983691223,0.40939661813262995,0.4878834464468015,0.3522879052930746,0.4579912506819689,0.5154446857484866,0.501986837990809,0.5465374791190277,0.4805230288942886,0.5038293754702935,0.46243124299001614,0.5797936026120433,0.6421540139714628,0.5846362647195773,0.4884678710263867,0.5382834772996987,0.5
