Game_ID,Blue_Team,Red_Team,Blue_Score,Red_Score,Blue_Win_Probability,Red_Win_Probability,Actual_Winner,Blue_Players,Red_Players
69500,Top Esports,Invictus Gaming,4.861884951591492,0.9314588232765875,0.8392191350153742,0.16078086498462588,Top Esports,5,5
69501,Invictus Gaming,Top Esports,4.593615114688873,2.077446927585413,0.6885882765861411,0.3114117234138589,Invictus Gaming,5,5
69502,Top Esports,Invictus Gaming,4.203611999750137,2.150061894208193,0.6616033604978258,0.33839663950217425,Top Esports,5,5
69522,LOUD,Vivo Keyd Stars,4.999919652938843,1.0563395767252763,0.8255788702783349,0.174421129721665,LOUD,5,5
69523,Vivo Keyd Stars,LOUD,4.008092826232314,2.422513067955151,0.6232838541474254,0.3767161458525746,Vivo Keyd Stars,5,5
69524,LOUD,Vivo Keyd Stars,0.4620864504981905,4.927085816860199,0.08574349224221244,0.9142565077577874,Vivo Keyd Stars,5,5
69525,FlyQuest,Disguised,4.999999761581421,0.3182159516618414,0.9401649032645611,0.05983509673543883,FlyQuest,5,5
69526,Disguised,FlyQuest,0.33175396367082044,4.99980092048645,0.062224617560747285,0.9377753824392527,FlyQuest,5,5
69531,Team Liquid,100 Thieves,4.943469524383545,1.7840276146307588,0.7348155520892351,0.26518444791076495,Team Liquid,5,5
69532,100 Thieves,Team Liquid,0.7621805237926295,4.999990701675415,0.1322731473899788,0.8677268526100211,Team Liquid,5,5
69556,PSG Talon,Team Secret Whales,1.196865067438921,3.0716599859297276,0.28039312232556185,0.7196068776744381,Team Secret Whales,5,5
69557,PSG Talon,Team Secret Whales,2.216205346630886,4.271561712026596,0.34159755222307364,0.6584024477769264,Team Secret Whales,5,5
69562,GAM Esports,CTBC Flying Oyster,5.0,0.6898679563040193,0.8787550147732885,0.12124498522671139,GAM Esports,5,5
69563,CTBC Flying Oyster,GAM Esports,4.253028780221939,1.6588717147242278,0.7194012794798683,0.2805987205201317,CTBC Flying Oyster,5,5
69564,GAM Esports,CTBC Flying Oyster,1.9942224449752004,3.179281478282064,0.3854684319480766,0.6145315680519233,CTBC Flying Oyster,5,5
69565,Hanwha Life eSports,CTBC Flying Oyster,4.9815996289253235,1.0052867219419865,0.8320852170851126,0.16791478291488734,Hanwha Life eSports,5,5
69566,Movistar KOI,GAM Esports,4.993808627128601,0.7710457829575948,0.866250606154325,0.13374939384567497,Movistar KOI,5,5
69567,G2 Esports,FURIA,4.983913481235504,1.2797810858949106,0.7956827121471192,0.2043172878528808,G2 Esports,5,5
69568,FlyQuest,Cloud9,4.017904469743371,1.0237252944846054,0.7969455627725238,0.2030544372274762,FlyQuest,5,5
69569,Hanwha Life eSports,Movistar KOI,4.9999998807907104,0.17972039214146207,0.965303069920468,0.034696930079532014,Hanwha Life eSports,5,5
69570,FlyQuest,G2 Esports,0.9557534014056872,4.849458992481232,0.16463711171224799,0.8353628882877521,G2 Esports,5,5
69571,GAM Esports,CTBC Flying Oyster,0.7343055890196428,4.996527254581451,0.1281324388722226,0.8718675611277774,CTBC Flying Oyster,5,5
69573,Movistar KOI,CTBC Flying Oyster,4.284443199634552,2.981791440397501,0.5896373310091253,0.4103626689908747,Movistar KOI,5,5
69574,FlyQuest,FURIA,5.0,0.8078687326064348,0.8609010000396682,0.1390989999603318,FlyQuest,5,5
69619,Anyone s Legend,Hanwha Life eSports,5.0,0.03720931229997328,0.9926131097611698,0.007386890238830204,Anyone s Legend,5,5
69620,Hanwha Life eSports,Anyone s Legend,2.644989710301161,4.922728896141052,0.34950952167401494,0.650490478325985,Hanwha Life eSports,5,5
69621,Anyone s Legend,Hanwha Life eSports,4.999852776527405,0.20494672077122547,0.960623512802444,0.03937648719755601,Anyone s Legend,5,5
69622,G2 Esports,Bilibili Gaming,1.028754836236518,4.223552107810974,0.19586723456869162,0.8041327654313084,Bilibili Gaming,5,5
69623,G2 Esports,Bilibili Gaming,4.067163519561291,0.9026902085752255,0.8183668457957423,0.18163315420425782,G2 Esports,5,5
69624,Bilibili Gaming,G2 Esports,1.0006653083982542,5.0,0.16675906036581797,0.833240939634182,G2 Esports,5,5
69625,T1,Movistar KOI,4.744685232639313,0.008537489374703,0.9982038524441191,0.001796147555880893,T1,5,5
69626,Movistar KOI,T1,4.998590409755707,1.1774149744778697,0.8093565498690084,0.19064345013099163,Movistar KOI,5,5
69627,T1,Movistar KOI,3.3354539461433887,0.6539552090329437,0.8360771774475865,0.16392282255241347,T1,5,5
69628,FlyQuest,Gen.G eSports,1.0341787615102476,4.999868631362915,0.17139055996340372,0.8286094400365963,Gen.G eSports,5,5
69629,Gen.G eSports,FlyQuest,3.119801010529045,2.1126332757849013,0.5962427504707045,0.40375724952929554,Gen.G eSports,5,5
69630,Anyone s Legend,T1,5.0,0.9186306353006631,0.8447900043260603,0.15520999567393975,Anyone s Legend,5,5
69631,T1,Anyone s Legend,0.9994447493388731,4.999977231025696,0.16659017362171605,0.833409826378284,Anyone s Legend,5,5
69633,G2 Esports,Gen.G eSports,0.7727751331521333,4.42996546626091,0.1485323203004423,0.8514676796995577,Gen.G eSports,5,5
69634,G2 Esports,Gen.G eSports,4.063382208347321,0.0344587404378938,0.9915910010006345,0.00840899899936549,G2 Esports,5,5
69635,Gen.G eSports,G2 Esports,4.985518157482147,0.46530553428762556,0.9146357393672092,0.08536426063279075,Gen.G eSports,5,5
69700,T1,G2 Esports,4.999011397361755,1.000042851866226,0.8332999152333184,0.16670008476668163,T1,5,5
69701,G2 Esports,T1,0.03637015874783102,4.889094829559326,0.007384106644585276,0.9926158933554148,T1,5,5
69703,Gen.G eSports,Anyone s Legend,4.9960848689079285,1.1563072041655111,0.8120556703097311,0.18794432969026884,Gen.G eSports,5,5
69704,Anyone s Legend,Gen.G eSports,0.9713394487100419,4.999727785587311,0.162674344567876,0.837325655432124,Gen.G eSports,5,5
69705,Anyone s Legend,Gen.G eSports,4.7381210923194885,2.1752718188695894,0.6853539431631334,0.31464605683686664,Anyone s Legend,5,5
69706,Gen.G eSports,Anyone s Legend,3.9785026367881073,4.8514822125434875,0.45056732312392006,0.5494326768760799,Anyone s Legend,5,5
69707,Gen.G eSports,Anyone s Legend,4.999989032745361,1.0001849462030663,0.833307342468367,0.16669265753163306,Gen.G eSports,5,5
69734,Weibo Gaming,Top Esports,1.9143289732748197,4.948233604431152,0.2789524979333222,0.7210475020666777,Top Esports,5,5
69735,Weibo Gaming,Top Esports,3.2230773945339024,2.3844420983441523,0.5747777423917007,0.42522225760829935,Weibo Gaming,5,5
69736,Top Esports,Weibo Gaming,4.944379150867462,1.3825929354408117,0.7814763655378254,0.21852363446217465,Top Esports,5,5
69756,Invictus Gaming,Team WE,4.552328586578369,1.8778537856560433,0.7079625931350512,0.2920374068649489,Invictus Gaming,5,5
69757,Team WE,Invictus Gaming,0.8770487524469739,4.956478476524353,0.15034621730935693,0.849653782690643,Invictus Gaming,5,5
